,precision,recall,f1-score,support
Post-30s,0.7216937354988399,0.6806345733041576,0.700563063063063,9140.0
Pre-30s,0.7456652435305393,0.7810532079948891,0.7629490951234733,10957.0
accuracy,0.7353833905558044,0.7353833905558044,0.7353833905558044,0.7353833905558044
macro avg,0.7336794895146896,0.7308438906495234,0.7317560790932682,20097.0
weighted avg,0.734763139564289,0.7353833905558044,0.7345762865932374,20097.0
