,precision,recall,f1-score,support
Post-30s,0.5489690721649485,0.8855579868708972,0.6777759169318373,9140.0
Pre-30s,0.8045955538950121,0.393082048005841,0.5281422440220723,10957.0
accuracy,0.617057272229686,0.617057272229686,0.617057272229686,0.617057272229686
macro avg,0.6767823130299804,0.6393200174383691,0.6029590804769548,20097.0
weighted avg,0.6883381003938537,0.617057272229686,0.5961947777532387,20097.0
