,precision,recall,f1-score,support
Post-30s,0.7246442285972442,0.7019693654266959,0.7131265977548071,9140.0
Pre-30s,0.7577159121230989,0.7774938395546226,0.7674774774774775,10957.0
accuracy,0.7431457431457431,0.7431457431457431,0.7431457431457431,0.7431457431457431
macro avg,0.7411800703601715,0.7397316024906593,0.7403020376161423,20097.0
weighted avg,0.7426751006872472,0.7431457431457431,0.7427590100114275,20097.0
